,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
"5,949,""Abdur-Rahim, Shareef"",Shareef Abdur-Rahim,0,1996,2007,shareef_abdur-rahim,shareef_abdur-rahim,0,,,,,,Y,00"
"9,203518,""Abrines, Alex"",Alex Abrines,0,2016,2018,alex_abrines,alex_abrines,0,,,,,,Y,00"
"10,1630173,""Achiuwa, Precious"",Precious Achiuwa,1,2020,2023,precious_achiuwa,precious_achiuwa,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00"
"11,101165,""Acker, Alex"",Alex Acker,0,2005,2008,alex_acker,alex_acker,0,,,,,,Y,01"
"15,203112,""Acy, Quincy"",Quincy Acy,0,2012,2018,quincy_acy,quincy_acy,0,,,,,,Y,01"
"18,200801,""Adams, Hassan"",Hassan Adams,0,2006,2008,hassan_adams,hassan_adams,0,,,,,,Y,00"
"19,1629121,""Adams, Jaylen"",Jaylen Adams,0,2018,2020,jaylen_adams,jaylen_adams,0,,,,,,Y,01"
"20,203919,""Adams, Jordan"",Jordan Adams,0,2014,2015,jordan_adams,jordan_adams,0,,,,,,Y,01"
"22,203500,""Adams, Steven"",Steven Adams,1,2013,2023,steven_adams,steven_adams,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00"
"24,1628389,""Adebayo, Bam"",Bam Adebayo,1,2017,2023,bam_adebayo,bam_adebayo,1610612748,Miami,Heat,MIA,heat,heat,Y,00"
"25,1629061,""Adel, Deng"",Deng Adel,0,2018,2018,deng_adel,deng_adel,0,,,,,,Y,01"
"27,202399,""Adrien, Jeff"",Jeff Adrien,0,2010,2014,jeff_adrien,jeff_adrien,0,,,,,,Y,01"
"28,201167,""Afflalo, Arron"",Arron Afflalo,0,2007,2017,arron_afflalo,arron_afflalo,0,,,,,,Y,00"
